transaction_id,date,branch_id,branch_name,kota,provinsi,rating_cabang,customer_name,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating_transaksi
TRX2165480,2022-10-01,79972,Kimia Farma - Apotek,Mataram,Nusa Tenggara Barat,4.7,Megan Mercer,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.8
TRX3448274,2022-10-27,49520,Kimia Farma - Apotek,Subang,Jawa Barat,4.4,Andre Hawkins,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.9
TRX2215482,2021-04-29,67373,Kimia Farma - Apotek,Subang,Jawa Barat,4.6,Christopher Cunningham,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.6
TRX6453359,2021-09-19,12027,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,4.8,Patrick Martinez,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.5
TRX6546352,2021-02-23,96065,Kimia Farma - Apotek,Karawang,Jawa Barat,5,Chelsea Williams,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.1
TRX4605325,2022-05-09,99182,Kimia Farma - Apotek,Makassar,Sulawesi Selatan,4.6,Keith Shaffer,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.3
TRX5627898,2023-03-17,15949,Kimia Farma - Apotek,Gorontalo,Gorontalo,4.6,Lisa Miller,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.2
TRX6917505,2022-12-26,37602,Kimia Farma - Apotek,Garut,Jawa Barat,4.5,Morgan Smith,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.4
TRX4621252,2020-11-14,28401,Kimia Farma - Apotek,Magelang,Jawa Tengah,3.9,Jennifer Klein,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.2
TRX4743278,2021-09-25,63673,Kimia Farma - Apotek,Sorong,Papua Barat,4.8,Laura Mitchell,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,4.9
TRX5758357,2023-07-20,83742,Kimia Farma - Apotek,Pematangsiantar,Sumatera Utara,4.8,Robin Brown,KF172,"Psycholeptics drugs, Hypnotics and sedatives drugs",2100,0.15,0.1,2096.85,209.685,3.1
